freq,word,a1,a2,a3,a4,b1,b2,b3,b4,p1,p2,p3,p4,q1,q2,q3,q4
1,上下,g;4,vu84,,,,,,,ㄕㄤˋ,ㄒㄧㄚˋ,,,,,,
2,前後,fu06,c.4,,,,,,,ㄑㄧㄢˊ,ㄏㄡˋ,,,,,,
3,左右,yji3,u.4,,,,,,,ㄗㄨㄛˇ,ㄧㄡˋ,,,,,,
4,高低,el,2u,,,,,,,ㄍㄠ,ㄉㄧ,,,,,,
5,長短,t;6,2j03,,,,,,,ㄔㄤˊ,ㄉㄨㄢˇ,,,,,,
6,正反,5/4,z03,,,,,,,ㄓㄥˋ,ㄈㄢˇ,,,,,,
7,高矮,el,93,,,,,,,ㄍㄠ,ㄞˇ,,,,,,
8,胖瘦,q;4,g.4,,,,,,,ㄆㄤˋ,ㄕㄡˋ,,,,,,
9,起伏,fu3,zj6,,,,,,,ㄑㄧˇ,ㄈㄨˊ,,,,,,
10,強弱,fu;6,bji4,,,,,,,ㄑㄧㄤˊ,ㄖㄨㄛˋ,,,,,,
11,黑白,co,196,,,,,,,ㄏㄟ,ㄅㄞˊ,,,,,,
12,明暗,au/6,04,,,,,,,ㄇㄧㄥˊ,ㄢˋ,,,,,,
13,日夜,b4,"u,4",,,,,,,ㄖˋ,ㄧㄝˋ,,,,,,
14,軟硬,bj03,u/4,,,,,,,ㄖㄨㄢˇ,ㄧㄥˋ,,,,,,
15,貧富,qup6,zj4,,,,,,,ㄆㄧㄣˊ,ㄈㄨˋ,,,,,,
16,大小,284,vul3,,,,,,,ㄉㄚˋ,ㄒㄧㄠˇ,,,,,,
17,輕重,fu/,5j/4,,,,,,,ㄑㄧㄥ,ㄓㄨㄥˋ,,,,,,
18,厚薄,c.4,1i6,,,c.4,1l6,,,ㄏㄡˋ,ㄅㄛˊ,,,ㄏㄡˋ,ㄅㄠˊ,,
19,親疏,fup,gj,,,,,,,ㄑㄧㄣ,ㄕㄨ,,,,,,
20,遠近,m03,rup4,,,,,,,ㄩㄢˇ,ㄐㄧㄣˋ,,,,,,
21,是非,g4,zo,,,,,,,ㄕˋ,ㄈㄟ,,,,,,
22,對錯,2jo4,hji4,,,,,,,ㄉㄨㄟˋ,ㄘㄨㄛˋ,,,,,,
23,正邪,5/4,"vu,6",,,,,,,ㄓㄥˋ,ㄒㄧㄝˊ,,,,,,
24,善惡,g04,k4,,,,,,,ㄕㄢˋ,ㄜˋ,,,,,,
25,冷暖,x/3,sj03,,,,,,,ㄌㄥˇ,ㄋㄨㄢˇ,,,,,,
26,乾濕,e0,g,,,,,,,ㄍㄢ,ㄕ,,,,,,
27,早晚,yl3,j03,,,,,,,ㄗㄠˇ,ㄨㄢˇ,,,,,,
28,清濁,fu/,5ji6,,,,,,,ㄑㄧㄥ,ㄓㄨㄛˊ,,,,,,
29,有無,u.3,j6,,,,,,,ㄧㄡˇ,ㄨˊ,,,,,,
30,緩急,cj03,ru6,,,,,,,ㄏㄨㄢˇ,ㄐㄧˊ,,,,,,
31,快慢,dj94,a04,,,,,,,ㄎㄨㄞˋ,ㄇㄢˋ,,,,,,
32,長幼,5;3,u.4,,,,,,,ㄓㄤˇ,ㄧㄡˋ,,,,,,
33,勝負,g/4,zj4,,,,,,,ㄕㄥˋ,ㄈㄨˋ,,,,,,
34,異同,u4,wj/6,,,,,,,ㄧˋ,ㄊㄨㄥˊ,,,,,,
35,出入,tj,bj4,,,,,,,ㄔㄨ,ㄖㄨˋ,,,,,,
36,開關,d9,ej0,,,,,,,ㄎㄞ,ㄍㄨㄢ,,,,,,
37,升降,g/,ru;4,,,,,,,ㄕㄥ,ㄐㄧㄤˋ,,,,,,
38,起落,fu3,xji4,,,,,,,ㄑㄧˇ,ㄌㄨㄛˋ,,,,,,
39,好壞,cl3,cj94,,,,,,,ㄏㄠˇ,ㄏㄨㄞˋ,,,,,,
40,生死,g/,n3,,,,,,,ㄕㄥ,ㄙˇ,,,,,,
41,天地,wu0,2u4,,,,,,,ㄊㄧㄢ,ㄉㄧˋ,,,,,,
42,深淺,gp,fu03,,,,,,,ㄕㄣ,ㄑㄧㄢˇ,,,,,,
43,新舊,vup,ru.4,,,,,,,ㄒㄧㄣ,ㄐㄧㄡˋ,,,,,,
44,老少,xl3,gl4,,,,,,,ㄌㄠˇ,ㄕㄠˋ,,,,,,
45,分合,zp,ck6,,,,,,,ㄈㄣ,ㄏㄜˊ,,,,,,
46,進退,rup4,wjo4,,,,,,,ㄐㄧㄣˋ,ㄊㄨㄟˋ,,,,,,
47,來去,x96,fm4,,,,,,,ㄌㄞˊ,ㄑㄩˋ,,,,,,
48,賞罰,g;3,z86,,,,,,,ㄕㄤˇ,ㄈㄚˊ,,,,,,
