freq,word,a1,a2,a3,a4,b1,b2,b3,b4,p1,p2,p3,p4,q1,q2,q3,q4
18,厚薄,c.4,1i6,,,c.4,1l6,,,ㄏㄡˋ,ㄅㄛˊ,,,ㄏㄡˋ,ㄅㄠˊ,,
66,嘴巴,yjo3,187,,,yjo3,18,,,ㄗㄨㄟˇ,ㄅㄚ˙,,,ㄗㄨㄟˇ,ㄅㄚ,,
69,舌頭,gk6,w.7,,,gk6,w.6,,,ㄕㄜˊ,ㄊㄡ˙,,,ㄕㄜˊ,ㄊㄡˊ,,
72,耳朵,-3,2ji3,,,-3,2ji7,,,ㄦˇ,ㄉㄨㄛˇ,,,ㄦˇ,ㄉㄨㄛ˙,,
85,手臂,g.3,1u4,,,g.3,1o4,,,ㄕㄡˇ,ㄅㄧˋ,,,ㄕㄡˇ,ㄅㄟˋ,,
100,腳踝,rul3,cj96,,,rul3,cj84,,,ㄐㄧㄠˇ,ㄏㄨㄞˊ,,,ㄐㄧㄠˇ,ㄏㄨㄚˋ,,
115,血管,"vu,3",ej03,,,"vm,4",ej03,,,ㄒㄧㄝˇ,ㄍㄨㄢˇ,,,ㄒㄩㄝˋ,ㄍㄨㄢˇ,,
119,流血,xu.6,"vu,3",,,xu.6,"vm,4",,,ㄌㄧㄡˊ,ㄒㄧㄝˇ,,,ㄌㄧㄡˊ,ㄒㄩㄝˋ,,
196,熟悉,g.6,vu,,,gj6,vu,,,ㄕㄡˊ,ㄒㄧ,,,ㄕㄨˊ,ㄒㄧ,,
252,鼻塞,1u6,nk4,,,1u6,n9,,,ㄅㄧˊ,ㄙㄜˋ,,,ㄅㄧˊ,ㄙㄞ,,
292,強迫,fu;3,qi4,,,fu;6,qi4,,,ㄑㄧㄤˇ,ㄆㄛˋ,,,ㄑㄧㄤˊ,ㄆㄛˋ,,
365,什麼,gp6,ak7,,,gk6,ak7,,,ㄕㄣˊ,ㄇㄜ˙,,,ㄕㄜˊ,ㄇㄜ˙,,
440,差一點,t8,u4,2u03,,t84,u4,2u03,,ㄔㄚ,ㄧˋ,ㄉㄧㄢˇ,,ㄔㄚˋ,ㄧˋ,ㄉㄧㄢˇ,
490,骰子,w.6,y7,,,g93,y7,,,ㄊㄡˊ,ㄗ˙,,,ㄕㄞˇ,ㄗ˙,,
539,修正液,vu.,5/4,u4,,vu.,5/4,"u,4",,ㄒㄧㄡ,ㄓㄥˋ,ㄧˋ,,ㄒㄧㄡ,ㄓㄥˋ,ㄧㄝˋ,
542,卡片,d83,qu04,,,d83,qu0,,,ㄎㄚˇ,ㄆㄧㄢˋ,,,ㄎㄚˇ,ㄆㄧㄢ,,
549,抓娃娃機,5j8,j86,j86,ru,5j8,j86,j87,ru,ㄓㄨㄚ,ㄨㄚˊ,ㄨㄚˊ,ㄐㄧ,ㄓㄨㄚ,ㄨㄚˊ,ㄨㄚ˙,ㄐㄧ
554,成熟,t/6,g.6,,,t/6,gj6,,,ㄔㄥˊ,ㄕㄡˊ,,,ㄔㄥˊ,ㄕㄨˊ,,
565,混合,cjp4,ck6,,,cjp3,ck6,,,ㄏㄨㄣˋ,ㄏㄜˊ,,,ㄏㄨㄣˇ,ㄏㄜˊ,,
572,空格,dj/4,ek6,,,dj/,ek6,,,ㄎㄨㄥˋ,ㄍㄜˊ,,,ㄎㄨㄥ,ㄍㄜˊ,,
622,大廈,284,vu84,,,284,g84,,,ㄉㄚˋ,ㄒㄧㄚˋ,,,ㄉㄚˋ,ㄕㄚˋ,,
640,巷弄,vu;4,sj/4,,,vu;4,xj/4,,,ㄒㄧㄤˋ,ㄋㄨㄥˋ,,,ㄒㄧㄤˋ,ㄌㄨㄥˋ,,
675,照片,5l4,qu04,,,5l4,qu0,,,ㄓㄠˋ,ㄆㄧㄢˋ,,,ㄓㄠˋ,ㄆㄧㄢ,,
712,枕頭,5p3,w.6,,,5p3,w.7,,,ㄓㄣˇ,ㄊㄡˊ,,,ㄓㄣˇ,ㄊㄡ˙,,
736,鹽巴,u06,187,,,u06,18,,,ㄧㄢˊ,ㄅㄚ˙,,,ㄧㄢˊ,ㄅㄚ,,
760,高麗菜,el,xu6,h94,,el,xu4,h94,,ㄍㄠ,ㄌㄧˊ,ㄘㄞˋ,,ㄍㄠ,ㄌㄧˋ,ㄘㄞˋ,
764,紅蘿蔔,cj/6,xji6,1i7,,cj/6,xji6,1i6,,ㄏㄨㄥˊ,ㄌㄨㄛˊ,ㄅㄛ˙,,ㄏㄨㄥˊ,ㄌㄨㄛˊ,ㄅㄛˊ,
815,罐頭,ej04,w.7,,,ej04,w.6,,,ㄍㄨㄢˋ,ㄊㄡ˙,,,ㄍㄨㄢˋ,ㄊㄡˊ,,
830,芋頭,m4,w.7,,,m4,w.6,,,ㄩˋ,ㄊㄡ˙,,,ㄩˋ,ㄊㄡˊ,,
848,炸雞塊,586,ru,dj94,,584,ru,dj94,,ㄓㄚˊ,ㄐㄧ,ㄎㄨㄞˋ,,ㄓㄚˋ,ㄐㄧ,ㄎㄨㄞˋ,
859,親子丼,fup,y3,ru/3,,fup,y3,2j/4,,ㄑㄧㄣ,ㄗˇ,ㄐㄧㄥˇ,,ㄑㄧㄣ,ㄗˇ,ㄉㄨㄥˋ,
864,豬血糕,5j,"vu,3",el,,5j,"vm,3",el,,ㄓㄨ,ㄒㄧㄝˇ,ㄍㄠ,,ㄓㄨ,ㄒㄩㄝˇ,ㄍㄠ,
934,防曬乳液,z;6,g94,bj3,u4,z;6,g94,bj3,"u,4",ㄈㄤˊ,ㄕㄞˋ,ㄖㄨˇ,ㄧˋ,ㄈㄤˊ,ㄕㄞˋ,ㄖㄨˇ,ㄧㄝˋ
1139,意思,u4,n,,,u4,n7,,,ㄧˋ,ㄙ,,,ㄧˋ,ㄙ˙,,
1262,媽媽,a8,a8,,,a8,a87,,,ㄇㄚ,ㄇㄚ,,,ㄇㄚ,ㄇㄚ˙,,
1264,爸爸,184,184,,,184,187,,,ㄅㄚˋ,ㄅㄚˋ,,,ㄅㄚˋ,ㄅㄚ˙,,
1267,奶奶,s93,s93,,,s93,s97,,,ㄋㄞˇ,ㄋㄞˇ,,,ㄋㄞˇ,ㄋㄞ˙,,
1268,爺爺,"u,6","u,6",,,"u,6","u,7",,,ㄧㄝˊ,ㄧㄝˊ,,,ㄧㄝˊ,ㄧㄝ˙,,
1269,婆婆,qi6,qi6,,,qi6,qi7,,,ㄆㄛˊ,ㄆㄛˊ,,,ㄆㄛˊ,ㄆㄛ˙,,
1270,公公,ej/,ej/,,,ej/,ej/7,,,ㄍㄨㄥ,ㄍㄨㄥ,,,ㄍㄨㄥ,ㄍㄨㄥ˙,,
1271,姑姑,ej,ej,,,ej,ej7,,,ㄍㄨ,ㄍㄨ,,,ㄍㄨ,ㄍㄨ˙,,
1272,伯伯,1i6,1i6,,,1i6,1i7,,,ㄅㄛˊ,ㄅㄛˊ,,,ㄅㄛˊ,ㄅㄛ˙,,
1274,舅舅,ru.4,ru.4,,,ru.4,ru.7,,,ㄐㄧㄡˋ,ㄐㄧㄡˋ,,,ㄐㄧㄡˋ,ㄐㄧㄡ˙,,
1275,叔叔,gj6,gj6,,,gj6,gj7,,,ㄕㄨˊ,ㄕㄨˊ,,,ㄕㄨˊ,ㄕㄨ˙,,
1276,嬸嬸,gp3,gp3,,,gp3,gp7,,,ㄕㄣˇ,ㄕㄣˇ,,,ㄕㄣˇ,ㄕㄣ˙,,
1279,哥哥,ek,ek,,,ek,ek7,,,ㄍㄜ,ㄍㄜ,,,ㄍㄜ,ㄍㄜ˙,,
1280,姊姊,"ru,3","ru,3",,,"ru,3","ru,7",,,ㄐㄧㄝˇ,ㄐㄧㄝˇ,,,ㄐㄧㄝˇ,ㄐㄧㄝ˙,,
1281,弟弟,2u4,2u4,,,2u4,2u7,,,ㄉㄧˋ,ㄉㄧˋ,,,ㄉㄧˋ,ㄉㄧ˙,,
1282,妹妹,ao4,ao4,,,ao4,ao7,,,ㄇㄟˋ,ㄇㄟˋ,,,ㄇㄟˋ,ㄇㄟ˙,,
1404,馬來西亞,a83,x96,vu,u83,a83,x96,vu,u84,ㄇㄚˇ,ㄌㄞˊ,ㄒㄧ,ㄧㄚˇ,ㄇㄚˇ,ㄌㄞˊ,ㄒㄧ,ㄧㄚˋ
1409,法國,z83,eji6,,,z84,eji6,,,ㄈㄚˇ,ㄍㄨㄛˊ,,,ㄈㄚˋ,ㄍㄨㄛˊ,,
1551,長臂猿,t;6,1u4,m06,,t;6,1o4,m06,,ㄔㄤˊ,ㄅㄧˋ,ㄩㄢˊ,,ㄔㄤˊ,ㄅㄟˋ,ㄩㄢˊ,
1564,浣熊,j03,vm/6,,,cj03,vm/6,,,ㄨㄢˇ,ㄒㄩㄥˊ,,,ㄏㄨㄢˇ,ㄒㄩㄥˊ,,
1662,蠶寶寶,h06,1l3,1l3,,h06,1l3,1l7,,ㄘㄢˊ,ㄅㄠˇ,ㄅㄠˇ,,ㄘㄢˊ,ㄅㄠˇ,ㄅㄠ˙,
1725,松柏常青,nj/,1i6,t;6,fu/,nj/,193,t;6,fu/,ㄙㄨㄥ,ㄅㄛˊ,ㄔㄤˊ,ㄑㄧㄥ,ㄙㄨㄥ,ㄅㄞˇ,ㄔㄤˊ,ㄑㄧㄥ
1726,車前草,tk,fu06,hl3,,rm,fu06,hl3,,ㄔㄜ,ㄑㄧㄢˊ,ㄘㄠˇ,,ㄐㄩ,ㄑㄧㄢˊ,ㄘㄠˇ,
1732,石頭,g6,w.6,,,g6,w.7,,,ㄕˊ,ㄊㄡˊ,,,ㄕˊ,ㄊㄡ˙,,
